Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
Week 9,Hanwha Life Esports,KT Rolster,1 - 0,1,11.5,Gnar,Hecarim,Thresh,Renekton,Udyr,Lillia,Nidalee,"Kai'Sa, Gragas","Sion, Orianna",Olaf,Kalista,Viktor,Tristana,Azir,Syndra,"Senna, Tahm Kench",Rakan,Jungle,Top,Mid,Bot,Support,Bot,Top,Jungle,Mid,Support
Week 9,Gen.G,DWG KIA,2 - 1,1,11.5,Senna,Kalista,Seraphine,Renekton,Graves,Hecarim,Udyr,"Kai'Sa, Lillia","Jinx, Thresh",Gragas,Orianna,Yone,Camille,Gnar,Viktor,"Cho'Gath, Azir",Sion,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Mid,Top
Week 9,DWG KIA,Gen.G,1 - 1,1,11.5,Kalista,Senna,Renekton,Seraphine,Thresh,Graves,Hecarim,"Kai'Sa, Udyr","Tristana, Rell",Syndra,Zoe,Irelia,Gnar,Gragas,Sett,"Viktor, Sion",Cho'Gath,Jungle,Bot,Support,Mid,Top,Bot,Jungle,Mid,Support,Top
Week 9,Gen.G,DWG KIA,1 - 0,1,11.5,Senna,Kalista,Seraphine,Renekton,Graves,Hecarim,Udyr,"Lillia, Kai'Sa","Jinx, Thresh",Sion,Irelia,Yone,Syndra,Lucian,Leona,"Orianna, Cho'Gath",Zoe,Jungle,Bot,Support,Mid,Top,Jungle,Bot,Top,Support,Mid
Week 8,Nongshim RedForce,DWG KIA,0 - 2,2,11.4,Senna,Thresh,Sion,Seraphine,Udyr,Tristana,Rell,"Kai'Sa, Gragas","Nidalee, Aphelios",Hecarim,Sett,Zoe,Azir,Gnar,Syndra,"Renekton, Aatrox",Rumble,Support,Jungle,Bot,Mid,Top,Bot,Support,Jungle,Mid,Top
Week 8,DWG KIA,Nongshim RedForce,1 - 0,1,11.4,Thresh,Senna,Tristana,Seraphine,Rell,Udyr,Kai'Sa,"Aphelios, Lillia","Hecarim, Gragas",Gnar,Lulu,Sett,Galio,Alistar,Leona,"Sion, Zoe",Azir,Bot,Jungle,Support,Top,Mid,Bot,Jungle,Top,Support,Mid
Week 8,Liiv SANDBOX,Hanwha Life Esports,1 - 2,2,11.4,Renekton,Seraphine,Thresh,Gnar,Gragas,Camille,Udyr,"Lillia, Rell","Alistar, Syndra",Kai'Sa,Kalista,Lucian,Tristana,Aatrox,Sion,"Xayah, Irelia",Mordekaiser,Jungle,Support,Mid,Bot,Top,Jungle,Support,Bot,Mid,Top
Week 8,Hanwha Life Esports,Liiv SANDBOX,1 - 1,2,11.4,Gnar,Renekton,Seraphine,Thresh,Olaf,Gragas,Hecarim,"Camille, Azir","Rell, Sion",Udyr,Viktor,Rakan,Syndra,Alistar,Leona,"Kai'Sa, LeBlanc",Ezreal,Jungle,Support,Top,Bot,Mid,Top,Mid,Jungle,Support,Bot
Week 8,Liiv SANDBOX,Hanwha Life Esports,0 - 1,2,11.4,Renekton,Seraphine,Thresh,Gnar,Hecarim,Lillia,Udyr,"Rell, Olaf","Gragas, Camille",Sion,Viktor,Kai'Sa,Orianna,Zoe,Azir,"Kalista, Syndra",Tristana,Jungle,Support,Top,Bot,Mid,Support,Jungle,Top,Mid,Bot
Week 8,Afreeca Freecs,Fredit BRION,0 - 2,2,11.4,Tristana,Seraphine,Rakan,Lillia,Kalista,Rell,Hecarim,"Kai'Sa, Udyr","Varus, Alistar",Syndra,Gnar,Galio,Orianna,Nautilus,Gragas,"Nocturne, Kennen",Leona,Jungle,Bot,Support,Mid,Top,Bot,Jungle,Mid,Top,Support
Week 8,Fredit BRION,Afreeca Freecs,1 - 0,1,11.4,Thresh,Renekton,Rell,Udyr,Hecarim,Lillia,Seraphine,"Senna, Graves","Olaf, Tristana",Tahm Kench,Nautilus,Orianna,Rakan,Azir,Syndra,"Gnar, Alistar",Jayce,Mid,Jungle,Bot,Top,Support,Bot,Jungle,Support,Mid,Top
Week 8,T1,Gen.G,2 - 0,1,11.4,Renekton,Thresh,Kalista,Lillia,Rell,Senna,Seraphine,"Azir, Udyr","Hecarim, Kai'Sa",Camille,Gragas,Xayah,Kennen,Tristana,Aphelios,"Leona, Gnar",Galio,Mid,Jungle,Bot,Support,Top,Mid,Jungle,Top,Bot,Support
Week 8,Gen.G,T1,0 - 1,2,11.4,Thresh,Renekton,Twisted Fate,Kalista,Lillia,Rell,Udyr,"Seraphine, Senna","Camille, Azir",Hecarim,Kai'Sa,Tahm Kench,Xayah,Kennen,Gragas,"Ezreal, Karma",Nautilus,Jungle,Top,Mid,Bot,Support,Mid,Bot,Jungle,Top,Support
Week 8,Nongshim RedForce,DRX,2 - 1,1,11.4,Udyr,Thresh,Kindred,Tristana,Renekton,Rell,Seraphine,"Kai'Sa, Orianna","Graves, Sion",Gnar,Aphelios,Lillia,Xayah,Nidalee,Dr. Mundo,"Ezreal, Alistar",Rakan,Mid,Jungle,Top,Bot,Support,Bot,Mid,Top,Jungle,Support
Week 8,DRX,Nongshim RedForce,1 - 1,1,11.4,Thresh,Udyr,Tristana,Renekton,Seraphine,Lillia,Rell,"Kai'Sa, Nidalee","Kindred, Sion",Alistar,Xayah,Gnar,Syndra,Aatrox,Azir,"Ezreal, Viktor",Sett,Support,Jungle,Top,Bot,Mid,Bot,Jungle,Support,Mid,Top
